FID,Street,City,State,County,Zip Code,Assessed_Hurricane,Times_Flooded,In_Flood_Zone,Flood_Zone,GlobalID,Flood_Hazard_Zone,x,y,zone_type,In Zone,Not in Zone
1159,34th Ave N,Myrtle Beach,SC,Horry County,29577,Florence,1,No,X,7b26730d-19e2-44fc-9810-bd5fa1cb4a56,No,-78.85821097,33.71152901,,,
1160,Blackberry Ln,Myrtle Beach,SC,Horry County,29579,Florence,1,No,X,e562b488-eb93-4f24-96fd-b8d775cace76,No,-78.95391802,33.76493602,,,
1161, ,Myrtle Beach,SC,Horry County,29577,Matthew,1,No,X,4d1674e7-ad0a-44aa-b70b-580e211f6e3e,No,-78.90286901,33.69878397,,,
1162,Bucksport Rd,Conway,SC,Horry County,29527,Matthew,1,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,25544e16-bf18-4fa4-a360-5e9a303d58b2,No,-79.117392,33.68842296,,,
1163,16th Ave,Conway,SC,Horry County,29526,Florence,1,No,X,ff2b5f10-7f0a-4baf-922c-75e746e43fca,No,-79.05966599,33.84817902,,,
1164,Didapper Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,51ea8563-5084-4197-9451-c373bffef12b,Yes,-79.14681299,33.67757502,,,
1165,Little Hill Dr,Conway,SC,Horry County,29527,Florence,1,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1b9af58c-1ff6-4ee1-8bf8-5d703d0c6a0b,Yes,-79.13916402,33.66950998,,,
1166,Track Hoe Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,9af3f30a-1312-49a2-9682-4f23b63b16f5,Yes,-79.143849,33.67428401,,,
1167,Track Hoe Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,a1fdf7f0-04f6-4664-bdb2-a1d4f77d9fdc,Yes,-79.14344898,33.67447203,,,
1168,Didapper Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,6eef2050-6900-4ef5-babb-2db8f14df785,Yes,-79.14631703,33.67632802,,,
1169,Didapper Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,b1662311-839a-4b3a-a189-2edab8506cc6,Yes,-79.14531801,33.67555698,,,
1170,Wesley St,Myrtle Beach,SC,Horry County,29579,Matthew,1,No,X,fecc7ed1-ca43-40d8-bad5-737e9cfde45c,No,-78.94023802,33.71929303,,,
1171,Mishoe Rd,Conway,SC,Horry County,29527,Florence,1,Yes,AE,b85a2362-6579-4ac0-bbc0-72a6826ca7d2,Yes,-79.10379402,33.68063597,,,
1172,Bucksport Rd,Conway,SC,Horry County,29527,Matthew,1,Yes,AE,4bd9f614-ab38-4966-9059-764daba78521,No,-79.10998,33.67772902,,,
1173,Bellamy Rd,Conway,SC,Horry County,29526,Florence,1,No,X,3033af1d-b411-448e-bbd2-9b340e393821,No,-78.99641201,33.81429003,,,
1174,Parkhill Dr,Conway,SC,Horry County,29526,Matthew,1,No,X,0321cc9c-a830-4a25-89cd-b249325ebf23,No,-79.06266501,33.84991301,,,
1175,Railroad Dr,Conway,SC,Horry County,29527,Matthew,1,Yes,AE,6c1ef56c-7261-4614-97cc-abd3ef1f89f1,Yes,-79.10102496,33.67738402,,,
1176,Ole Bellamy Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,f731a8e7-0704-4e1d-aeaf-579a7751359f,No,-79.10750199,33.67594497,,,
1177,Ole Bellamy Dr,Conway,SC,Horry County,29527,Matthew,1,Yes,AE,218a2648-640c-49b0-9502-b2bddc2d42fd,No,-79.10868903,33.67633101,,,
1178,Bucksport Rd,Conway,SC,Horry County,29527,Florence,1,Yes,AE,609fe28a-6aa8-4d63-a5ee-714b52ba34b2,No,-79.10939196,33.67635299,,,
1179,Mishoe Rd,Conway,SC,Horry County,29527,Florence,1,Yes,AE,177d4b86-5d27-4522-a778-07694d8b9d44,No,-79.10845699,33.678016,,,
1180,Bucksport Rd,Conway,SC,Horry County,29527,Florence,1,No,X,4d5aabe2-f71e-481f-8962-4db8a08bd5ac,No,-79.11267396,33.68235197,,,
1181,Ole Bellamy Dr,Conway,SC,Horry County,29527,"Matthew, Florence",2,Yes,AE,267d5a00-38aa-445f-91ea-0ae6ea7718af,No,-79.10784803,33.67594901,,,
1182,Bucksport Rd,Conway,SC,Horry County,29527,Matthew,1,Yes,AE,498af38e-aa88-4800-9e3f-fa6e65766b2b,No,-79.108767,33.67517303,,,
1183,Bucksport Rd,Conway,SC,Horry County,29527,"Matthew, Florence",2,Yes,AE,5c902934-6d7c-4175-b54d-7b8d302150e6,Yes,-79.10820798,33.67350899,,,
1184,Martin Luther Dr,Conway,SC,Horry County,29527,"Matthew, Florence",2,Yes,AE,79c9ae7d-7a32-4d2a-8ccc-a3f00ae4a9f1,Yes,-79.10877104,33.67278203,,,
1185,Bucksport Rd,Conway,SC,Horry County,29527,"Matthew, Florence",2,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,990203eb-e443-4d17-a531-663672ac33d9,No,-79.10634802,33.66656303,,,
1186,Martin Luther Dr,Conway,SC,Horry County,29527,Florence,1,Yes,AE,a35f4b61-4797-4cd1-ae0c-0f813a982622,Yes,-79.11415698,33.673211,,,
1187,Estate Dr,Conway,SC,Horry County,29526,Florence,1,No,X,40183d32-df76-4366-8923-5fcd8d699015,No,-79.065826,33.91194999,,,
1188,Peachtree Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,5ae8019e-e739-4a00-961b-022fd2acd9f2,Yes,-79.04797801,33.69304497,,,
1189,Peachtree Rd,Myrtle Beach,SC,Horry County,29588,Florence,1,Yes,AE,12dcc81f-357b-4666-a6e4-cf79abd95a6b,Yes,-79.049464,33.693882,,,
1190,Hwy 1115,Galivants Ferry,SC,Horry County,29544,Florence,1,No,X,43956e05-63e2-4b46-959f-bdbbbea47bfc,No,-79.16104096,34.01486197,,,
1191,Renata Ln,Myrtle Beach,SC,Horry County,29588,Matthew,1,Yes,AE,1545e863-58d7-4f14-be69-591f9c7c0c52,Yes,-79.02208901,33.68357497,,,
1192,Renata Ln,Myrtle Beach,SC,Horry County,29588,Matthew,1,Yes,AE,6c14a10d-929d-4414-a08e-ce2d937feecd,Yes,-79.02323203,33.68384399,,,
