Number,Street,City,State,County,Zip,Country,Latitude,Longitude,PIN,Assessed hurricanes (three),Number of assessed hurricanes
5141,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.796637,-79.054436,38105040014,Florence,1
5149,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.796421,-79.054431,38105040015,Florence,1
5155,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.796194,-79.054422,38105040016,"Matthew, Florence",2
111,White Oak Forest Pl,Conway,SC,Horry County,29527,US,33.800293,-79.080286,38105040017,"Joaquin, Florence",2
5900,Reba Rd,Conway,SC,Horry County,29527,US,33.746366,-79.093312,38105040018,Florence,1
5148,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.796415,-79.055008,38105040019,Florence,1
5078,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.798241,-79.055044,38105040027,Florence,1
3258,Hughes Gasque Rd,Aynor,SC,Horry County,29511,US,33.961326,-79.080316,38105040028,Florence,1
2707,Us Hwy 701,Conway,SC,Horry County,29526,US,33.872857,-79.051176,38106020001,Florence,1
5181,Pitch Landing Dr,Conway,SC,Horry County,29527,US,33.795399,-79.05439,38112010001,Florence,1
938,Cox Ferry Cir,Conway,SC,Horry County,29526,US,33.79438,-79.049638,38112020003,"Matthew, Florence",2
1415,3rd Ave,Conway,SC,Horry County,29526,US,33.831835,-79.052269,38112020004,Florence,1
623,Rusty Rd,Conway,SC,Horry County,29526,US,33.795883,-79.023277,38206030002,Matthew,1
